time,pressure_GS_5,temperature_GS_5,void_GS_5
0.141,2413732.9715266,502.27894681291,0.23111667409719
0.142,2392215.907657,502.28090483543,0.24118556149733
0.143,2392153.3625509,502.28291852962,0.2433
0.144,2377035.7860475,502.28491501954,0.2442
0.145,2376973.5140034,502.28692100203,0.24231103074141
0.146,2376910.9963682,502.2889039394,0.2407
0.147,2376848.2512867,502.29091761903,0.23880452079566
0.148,2376785.5036381,502.29288335705,0.2372
0.149,2376722.7670594,502.16511220389,0.2381
0.15,2377567.2283512,502.16707054199,0.2408
0.151,2391651.4195541,502.16906858771,0.24433171275647
0.152,2391588.6767018,502.1710978367,0.24735100401606
0.153,2391525.9338494,502.17308057152,0.24873606557377
0.154,2391463.190997,502.1750695314,0.24342870159453
0.155,2391400.4481447,502.17708329768,0.2382
0.156,2391337.7052923,502.17909682611,0.23595804701627
0.157,2391274.9624399,502.18105504967,0.23203327305606
0.158,2391212.2185876,502.18306872768,0.22802318120199
0.159,2391149.4757352,502.13474143985,0.2239868852459
0.16,2391086.7328828,502.05726345199,0.21771557377049
0.161,2391023.9900305,501.92944457125,0.2136
0.162,2390961.2471781,501.69676054762,0.2121856238698
0.163,2390898.5043258,501.29071543514,0.21463722692822
0.164,2390835.7620601,501.01471311716,0.23523053945609
0.165,2390773.018621,500.67007112821,0.25929817209095
0.166,2390710.2757687,501.03083114272,0.27809237628177
0.167,2390646.8400093,501.2924193904,0.29686415514935
0.168,2390584.1000639,501.55404256424,0.33487659384753
0.169,2390521.3527057,501.45474055321,0.34752687165775
0.17,2390458.6143592,501.29840469777,0.37427537912578
0.171,2390395.8725631,501.30041848213,0.38166286223807
0.172,2390333.1286545,501.1725995447,0.38736290682122
0.173,2390270.3858021,501.04478059503,0.39216951871658
0.174,2390208.3341038,500.91696420823,0.40750000000007
0.175,2390145.5895256,500.78919850265,0.4198
0.176,2390082.846245,500.66137955298,0.4198
0.177,2390020.1066444,500.66338740207,0.4207
0.178,2389957.3620662,500.53557442499,0.41071883988494
0.179,2389894.6176561,500.5375323553,0.34859599604547
0.18,2389831.878185,500.36869845162,0.33304336900884
0.181,2389769.5350471,500.15217319603,0.32270923787529
0.182,2389707.0790287,500.02435431742,0.30240642076503
0.183,2389644.3407256,499.89653549139,0.29707189066059
0.184,2389581.5961474,499.65465726517,0.295
0.185,2389518.8505693,499.51112061987,0.295
0.186,2389456.111995,499.51313441671,0.2941
0.187,2389393.3676881,499.51513151738,0.2941
0.188,2389330.6231099,499.51710611142,0.29567921498662
